_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude,neighborhood
3186586,0026E00249000000,"3347 MELWOOD AVE, PITTSBURGH, PA 15219",3347, ,,MELWOOD,AVE,,,PITTSBURGH,PA,15219,47,Pittsburgh,106,6th Ward - PITTSBURGH,8/14/2024,7/8/2024,80000,19768,552,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.458914,-79.962401,Polish Hill
3186588,0085M00324000000,"712 S LINDEN AVE, PITTSBURGH, PA 15208",712, ,S,LINDEN,AVE,,,PITTSBURGH,PA,15208,47,Pittsburgh,114,14th Ward - PITTSBURGH,8/19/2024,8/7/2024,1,19772,458,3,LOVE AND AFFECTION SALE,DE,DEED,40.446335,-79.916448,Point Breeze
3186590,0027B00166000000,"748 ANAHEIM ST, PITTSBURGH, PA 15219",748, ,,ANAHEIM,ST,,,PITTSBURGH,PA,15219,47,Pittsburgh,105,5th Ward - PITTSBURGH,8/27/2024,7/17/2024,7378,19782,250,GV,GOVERNMENT SALE,DE,DEED,40.452139,-79.961506,Upper Hill
3186598,0025A00056000000,"4 WATERSIDE PL, PITTSBURGH, PA 15222",4, ,,WATERSIDE,PL,,,PITTSBURGH,PA,15222,47,Pittsburgh,124,24th Ward - PITTSBURGH,9/23/2024,9/5/2024,603500,19808,392,0,VALID SALE,DE,DEED,40.462048,-79.978854,Troy Hill
3186594,0024G00073000000,"0 VOSKAMP ST, PITTSBURGH, PA 15212",0, ,,VOSKAMP,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,124,24th Ward - PITTSBURGH,9/19/2024,9/6/2024,7000,19806,73,H,MULTI-PARCEL SALE,SD,SHERIFF DEED,40.459531,-79.990799,Spring Garden
3186599,0080D00024000000,"5236 BUTLER ST, PITTSBURGH, PA 15201",5236, ,,BUTLER,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,9/23/2024,9/16/2024,1,19809,22,3,LOVE AND AFFECTION SALE,DE,DEED,40.48129,-79.95362,Upper Lawrenceville
3186611,0014F00060000000,"225 WALTER ST, PITTSBURGH, PA 15210",225, ,,WALTER,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,10/8/2024,10/7/2024,80000,19826,17,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.420049,-79.994486,Allentown
3186606,0174L00378000000,"7441 RACE ST, PITTSBURGH, PA 15208",7441, ,,RACE,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,10/2/2024,9/26/2024,50000,19819,361,35,CORPORATION TRANSFER,DE,DEED,40.457581,-79.889318,Homewood North
3186605,0001N00071000000,"140 BIGHAM ST, PITTSBURGH, PA 15211",140, ,,BIGHAM,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,10/2/2024,10/1/2024,745000,19819,152,9,OTHER INVALID SALES INDICATED,GW,GENERAL WARRANTY,40.43468,-80.015137,Mount Washington
3186618,0012F00316000000,"2122 SIDNEY ST, PITTSBURGH, PA 15203",2122, ,,SIDNEY,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,7/8/2024,5/24/2024,200000,19726,431,35,CORPORATION TRANSFER,SW,SPECIAL WARRANTY,40.429206,-79.975209,South Side Flats
