_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185138,1670G00195000000,"921 LOGAN RD, TARENTUM, PA 15084",921, ,,LOGAN,RD,,,TARENTUM,PA,15084,12,Deer Lakes,952,West Deer  ,2024-08-02,2024-07-31,1.0,19757,199.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,40.63408,-79.85544
3185139,1671C00211000000,"108 BESSEMER ST, TARENTUM, PA 15084",108, ,,BESSEMER,ST,,,TARENTUM,PA,15084,12,Deer Lakes,952,West Deer  ,2025-01-07,2024-12-30,105000.0,19915,562.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,40.63526,-79.83998
3185140,1223L00325000000,"904 BUTLER ST, TARENTUM, PA 15084",904, ,,BUTLER,ST,,,TARENTUM,PA,15084,21,Highlands,855,Tarentum  ,2024-11-07,2024-11-07,250.0,19856,226.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,40.603443,-79.757705
3185141,2372K00315000000,"2017 HEMLOCK LN, MARS, PA 16046",2017, ,,HEMLOCK,LN,,,MARS,PA,16046,27,North Allegheny,923,Marshall  ,2024-11-21,2024-06-05,425000.0,19694,13.0,0,VALID SALE,DE,DEED,40.671373,-80.092261
3185142,0039C00020000000,"436 MUELLER AVE, PITTSBURGH, PA 15205",436, ,,MUELLER,AVE,,,PITTSBURGH,PA,15205,7,Carlynton,818,Crafton  ,2024-08-27,2024-07-12,15557.0,19782,201.0,H,MULTI-PARCEL SALE,CO,CORRECTIVE DEED,40.432048,-80.057551
3185143,0022R00167000000,"1100 SHEFFIELD ST, PITTSBURGH, PA 15233",1100, ,,SHEFFIELD,ST,,,PITTSBURGH,PA,15233,47,Pittsburgh,121,21st Ward - PITTSBURGH,2024-05-20,2024-04-30,1.0,19673,482.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.454244,-80.021242
3185144,0957F00121000000,"15-16 RING ST, RURAL RIDGE, PA 15075",15, -16,,RING,ST,,,RURAL RIDGE,PA,15075,17,Fox Chapel Area,917,Indiana  ,2024-09-12,2024-09-09,198000.0,19798,243.0,0,VALID SALE,DE,DEED,40.585757,-79.826921
3185145,0119S00073000100,"5421 CARNEGIE ST, PITTSBURGH, PA 15201",5421, ,,CARNEGIE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-09-05,2024-06-17,1.0,19791,277.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.482814,-79.94994
3185146,0190H00307000000,"1312 6TH ST, PITTSBURGH, PA 15234",1312, ,,6TH,ST,,,PITTSBURGH,PA,15234,22,Keystone Oaks,813,Castle Shannon  ,2024-09-05,2024-08-29,245000.0,19791,283.0,0,VALID SALE,DE,DEED,40.37144,-80.00347
3185147,0976L00345000000,"215 SPARTAN DR, MONROEVILLE, PA 15146",215, ,,SPARTAN,DR,,,MONROEVILLE,PA,15146,18,Gateway,879,Monroeville  ,2024-09-06,2024-08-30,216000.0,19793,184.0,0,VALID SALE,DE,DEED,40.44599,-79.74119
