_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC,latitude,longitude
3185844,0121N00024000000,"1635 JANCEY ST, PITTSBURGH, PA 15206",1635, ,,JANCEY,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-06-14,2024-06-11,380000.0,19703,519.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.48354,-79.928658,Morningside
3185849,0088M00060000000,"1605 OVERTON LN, PITTSBURGH, PA 15217",1605, ,,OVERTON,LN,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-06-20,2024-06-14,849000.0,19709,551.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.418397,-79.918817,Squirrel Hill South
3185853,0114G00056000000,"3967 BRIGHTON RD, PITTSBURGH, PA 15212",3967, ,,BRIGHTON,RD,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-06-24,2024-05-28,0.0,19714,288.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.487292,-80.04037,Brighton Heights
3185855,0116J00237000000,"0 PERRYSVILLE AVE, PITTSBURGH, PA 15214",0, ,,PERRYSVILLE,AVE,,,PITTSBURGH,PA,15214,47,Pittsburgh,126,26th Ward - PITTSBURGH,2024-06-21,2024-05-22,201.0,19711,528.0,GV,GOVERNMENT SALE,QC,QUIT CLAIM,40.489089,-80.018839,Perry North
3185862,0029C00273000600,"3266 WARD ST, UNIT 6, PITTSBURGH, PA 15213",3266, ,,WARD,ST,UNIT,6,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-07-15,2024-07-10,197000.0,19735,292.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.432811,-79.954698,South Oakland
3185869,0054P00082000000,"4117 LYDIA ST, PITTSBURGH, PA 15207",4117, ,,LYDIA,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-05-29,2024-05-22,155000.0,19683,192.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.423768,-79.941654,Greenfield
3185876,0063F00026000000,"2201 OLD OAK DR, PITTSBURGH, PA 15220",2201, ,,OLD OAK,DR,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-05-22,2024-05-01,365000.0,19677,495.0,0,VALID SALE,DE,DEED,40.401658,-80.043994,Banksville
3185893,0033B00041000000,"239 MATHEWS AVE, PITTSBURGH, PA 15210",239, ,,MATHEWS,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,130,30th Ward - PITTSBURGH,2024-06-05,2024-05-21,500.0,19692,321.0,36,QUIT CLAIM,QC,QUIT CLAIM,40.41339,-79.99282,Knoxville
3185898,0050M00217000000,"300 N GRAHAM ST, PITTSBURGH, PA 15206",300, ,N,GRAHAM,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2024-06-14,2024-06-04,265000.0,19703,255.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.466883,-79.933768,Garfield
3185901,0173P00120000000,"0 TILDEN ST, PITTSBURGH, PA 15206",0, ,,TILDEN,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-04-02,2024-03-22,1.0,19625,41.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.463987,-79.893782,Lincoln-Lemington-Belmar
3185902,0129C00080000000,"0 ONONDAGO ST, PITTSBURGH, PA 15218",0, ,,ONONDAGO,ST,,,PITTSBURGH,PA,15218,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-04-02,2024-04-01,1.0,19625,275.0,H,MULTI-PARCEL SALE,DE,DEED,40.42187,-79.904789,Swisshelm Park
3185905,0088E00351000000,"1131 GREENFIELD AVE, PITTSBURGH, PA 15217",1131, ,,GREENFIELD,AVE,,,PITTSBURGH,PA,15217,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-04-08,2024-04-01,1.0,19630,438.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.420789,-79.929232,Greenfield
3185908,0076J00202000000,"3160 BRIGHTON RD, PITTSBURGH, PA 15212",3160, ,,BRIGHTON,RD,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-04-08,2024-04-04,145000.0,19631,198.0,H,MULTI-PARCEL SALE,DE,DEED,40.47539,-80.03006,Marshall-Shadeland
3185912,0080P00062000000,"0 45TH ST, PITTSBURGH, PA 15201",0, ,,45TH,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-04-10,2024-04-01,1.0,19634,345.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,40.4741,-79.962009,Central Lawrenceville
3185915,0085C00438000A00,"142 N WOODLAND RD, PITTSBURGH, PA 15232",142, ,N,WOODLAND,RD,,,PITTSBURGH,PA,15232,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-04-11,2024-04-01,675000.0,19636,58.0,0,VALID SALE,DE,DEED,40.452014,-79.922978,Squirrel Hill North
3185924,0129A00243000000,"1059 PARKVIEW BLVD, PITTSBURGH, PA 15217",1059, ,,PARKVIEW,BLVD,,,PITTSBURGH,PA,15217,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-04-24,2024-04-19,763475.0,19646,481.0,0,VALID SALE,DE,DEED,40.422614,-79.912459,Squirrel Hill South
3185911,0080P00292000000,"306 47TH ST, PITTSBURGH, PA 15201",306, ,,47TH,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,109,9th Ward - PITTSBURGH,2024-04-11,2024-04-10,519900.0,19635,101.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.474533,-79.959058,Central Lawrenceville
3185936,0035C00119000000,"1501 DAGMAR AVE, PITTSBURGH, PA 15216",1501, ,,DAGMAR,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-24,2024-10-10,184900.0,19841,473.0,0,VALID SALE,DE,DEED,40.41294,-80.022731,Beechview
3185937,0075C00187000000,"1437 ORCHLEE ST, PITTSBURGH, PA 15212",1437, ,,ORCHLEE,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-10-28,2024-08-23,0.0,19845,61.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.481557,-80.037515,Brighton Heights
3185946,0006G00020000000,"1607 GRANDVIEW AVE, PITTSBURGH, PA 15211",1607, ,,GRANDVIEW,AVE,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-10-31,2024-10-31,2250000.0,19849,131.0,H,MULTI-PARCEL SALE,DE,DEED,40.440345,-80.023465,Duquesne Heights
3185940,0020M00186000000,"210 LORENZ AVE, PITTSBURGH, PA 15220",210, ,,LORENZ,AVE,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-10-29,2024-10-23,1.0,19845,249.0,3,LOVE AND AFFECTION SALE,EX,EXECUTORS DEED,40.44736,-80.03589,Elliott
3185961,0015B00092000000,"517 GRIFFIN ST, PITTSBURGH, PA 15211",517, ,,GRIFFIN,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-11-07,2024-10-11,73000.0,19855,101.0,9,OTHER INVALID SALES INDICATED,FD,FIDUCIARY DEED,40.422705,-80.010782,Mount Washington
3185969,0175C00368000000,"7710 HAMILTON AVE, PITTSBURGH, PA 15208",7710, ,,HAMILTON,AVE,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,2024-03-12,2024-03-11,37500.0,19600,104.0,1,SHERIFF SALE,SD,SHERIFF DEED,40.452456,-79.888765,Homewood South
3185980,0013K00144000000,"2012 SPRING ST, PITTSBURGH, PA 15210",2012, ,,SPRING,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-03-19,2024-03-15,67500.0,19609,80.0,0,VALID SALE,DE,DEED,40.41744,-79.97821,Arlington
3185985,0023L00101000000,"20 W NORTH AVE, PITTSBURGH, PA 15212",20, ,W,NORTH,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,122,22nd Ward - PITTSBURGH,2024-03-25,2024-02-08,1.0,19614,116.0,GV,GOVERNMENT SALE,QC,QUIT CLAIM,40.455839,-80.005943,Central Northside
3185987,0050C00042000000,"0 SCHENLEY AVE, PITTSBURGH, PA 15224",0, ,,SCHENLEY,AVE,,,PITTSBURGH,PA,15224,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-03-20,2024-03-07,200.0,19610,398.0,GV,GOVERNMENT SALE,QC,QUIT CLAIM,40.471795,-79.939684,Garfield
3186013,0036P00378000000,"147 HIGH OAK PL, PITTSBURGH, PA 15220",147, ,,HIGH OAK,PL,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-12-04,2024-11-29,219900.0,19883,1.0,0,VALID SALE,DE,DEED,40.40448,-80.044237,Banksville
3186016,0095N00222000000,"226 VINELAND ST, PITTSBURGH, PA 15234",226, ,,VINELAND,ST,,,PITTSBURGH,PA,15234,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2024-07-25,2024-07-15,143500.0,19748,470.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.38694,-79.99905,Overbrook
3186033,0084L00015000000,"266 EMERSON ST, PITTSBURGH, PA 15206",266, ,,EMERSON,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,107,7th Ward - PITTSBURGH,2024-08-07,2024-07-20,390000.0,19761,203.0,0,VALID SALE,DE,DEED,40.457587,-79.923731,Shadyside
3186346,0019B00024000000,"906 STEUBEN ST, PITTSBURGH, PA 15220",906, ,,STEUBEN,ST,,,PITTSBURGH,PA,15220,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-05-10,2024-05-18,0.0,19665,194.0,3,LOVE AND AFFECTION SALE,FD,FIDUCIARY DEED,40.442604,-80.041827,Elliott
3186348,0045P00073000A00,"0 ISLAND AVE, PITTSBURGH, PA 15212",0, ,,ISLAND,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,121,21st Ward - PITTSBURGH,2024-05-02,2024-03-20,200.0,19656,141.0,GV,GOVERNMENT SALE,TS,TREASURER DEED,40.46278,-80.027984,California-Kirkbride
3186349,0013L00221000000,"2414 ARLINGTON AVE, PITTSBURGH, PA 15210",2414, ,,ARLINGTON,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-05-10,2024-05-09,225000.0,19665,494.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.41731,-79.9724,Arlington
3186353,0023E00131000000,"0 W JEFFERSON ST, PITTSBURGH, PA 15212",0, ,W,JEFFERSON,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,125,25th Ward - PITTSBURGH,2024-05-06,2024-05-03,535000.0,19659,476.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.458951,-80.013399,Central Northside
3186354,0071R00038000000,"3436 MIDDLETOWN RD, PITTSBURGH, PA 15204",3436, ,,MIDDLETOWN,RD,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-05-09,2024-03-19,1.0,19663,536.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.453292,-80.071818,Sheraden
3186361,0060S00046000000,"107 POPLARGROVE ST, PITTSBURGH, PA 15210",107, ,,POPLARGROVE,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-03-08,2024-02-05,138500.0,19595,26.0,0,VALID SALE,DE,DEED,40.396446,-79.986235,Carrick
3186365,0114G00016000000,"3936 MCCLURE AVE, PITTSBURGH, PA 15212",3936, ,,MCCLURE,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-03-11,2024-02-09,209000.0,19597,233.0,99,CORRECTIVE DEED / DUPLICATE SALE,CO,CORRECTIVE DEED,40.486756,-80.039711,Brighton Heights
3186362,0055A00151000000,"4114 BRISTOL ST, PITTSBURGH, PA 15207",4114, ,,BRISTOL,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-03-08,2024-02-28,167000.0,19595,74.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.422812,-79.946774,Greenfield
3186367,0032A00193000000,"446 ORMSBY AVE, PITTSBURGH, PA 15210",446, ,,ORMSBY,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-03-11,2024-03-05,80000.0,19598,20.0,35,CORPORATION TRANSFER,SW,SPECIAL WARRANTY,40.41238,-79.97965,Mt. Oliver
3186366,0041A00035000000,"1351 PRITCHARD ST, PITTSBURGH, PA 15204",1351, ,,PRITCHARD,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-03-11,2024-02-22,1.0,19597,438.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.45181,-80.06474,Sheraden
3186371,0050S00225000000,"124 S GRAHAM ST, PITTSBURGH, PA 15206",124, ,S,GRAHAM,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,108,8th Ward - PITTSBURGH,2024-03-19,2024-03-15,660000.0,19608,1.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.463607,-79.9358,Bloomfield
3186372,0055B00191000000,"4239 STANLEY ST, PITTSBURGH, PA 15207",4239, ,,STANLEY,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-03-18,2024-03-08,70000.0,19607,152.0,35,CORPORATION TRANSFER,SW,SPECIAL WARRANTY,40.42191,-79.94333,Greenfield
3186376,0005P00119000000,"1162 SHADYCREST DR, PITTSBURGH, PA 15216",1162, ,,SHADYCREST,DR,,,PITTSBURGH,PA,15216,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-03-22,2024-02-27,1380500.0,19612,459.0,H,MULTI-PARCEL SALE,SW,SPECIAL WARRANTY,40.4246,-80.02652,Beechview
3186378,0040C00147000000,"0 FORD ST, PITTSBURGH, PA 15205",0, ,,FORD,ST,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-03-20,2024-03-07,1.0,19610,500.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,40.442432,-80.055258,Crafton Heights
3186379,0123J00147000000,"1212 HEBERTON ST, PITTSBURGH, PA 15206",1212, ,,HEBERTON,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2024-03-26,2024-03-21,1.0,19615,395.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.474827,-79.914009,Highland Park
3186384,0095H00096000000,"2219 BROWNSVILLE RD, PITTSBURGH, PA 15210",2219, ,,BROWNSVILLE,RD,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-09-09,2024-09-05,45000.0,19794,412.0,14,TIME ON MARKET (INSUFF/EXCESS),WD,WARRANTY DEED,40.390822,-79.985949,Carrick
3186397,0062G00247000000,"2427 PLAINVIEW AVE, PITTSBURGH, PA 15226",2427, ,,PLAINVIEW,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-09-19,2024-09-11,196150.0,19806,270.0,0,VALID SALE,DE,DEED,40.39953,-80.02192,Brookline
3186396,0125A00147000000,"6425 CARVER ST, PITTSBURGH, PA 15206",6425, ,,CARVER,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-09-17,2024-08-22,1.0,19804,224.0,3,LOVE AND AFFECTION SALE,QC,QUIT CLAIM,40.462389,-79.912245,Larimer
3186395,0025N00080021800,"2434 SMALLMAN ST, UNIT 218, PITTSBURGH, PA 15222",2434, ,,SMALLMAN,ST,UNIT,218,PITTSBURGH,PA,15222,47,Pittsburgh,102,2nd Ward - PITTSBURGH,2024-09-18,2024-09-04,365000.0,19805,386.0,0,VALID SALE,DE,DEED,40.454246,-79.980755,Strip District
3186401,0042N00147000000,"1105 FAIRDALE ST, PITTSBURGH, PA 15204",1105, ,,FAIRDALE,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2024-09-25,2024-09-24,30000.0,19811,415.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.454665,-80.062058,Sheraden
3186403,0014D00199000000,"178 MONASTERY AVE, PITTSBURGH, PA 15203",178, ,,MONASTERY,AVE,,,PITTSBURGH,PA,15203,47,Pittsburgh,117,17th Ward - PITTSBURGH,2024-09-26,2024-09-20,160000.0,19813,224.0,0,VALID SALE,DE,DEED,40.422061,-79.984696,South Side Slopes
3186402,0033N00154000000,"455 DRYCOVE ST, PITTSBURGH, PA 15210",455, ,,DRYCOVE,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,118,18th Ward - PITTSBURGH,2024-09-25,2024-09-03,50000.0,19811,421.0,1,SHERIFF SALE,SD,SHERIFF DEED,40.40418,-79.997,Bon Air
3186409,0010N00148000001,"178 SWEENEY WAY, PITTSBURGH, PA 15219",178, ,,SWEENEY,WAY,,,PITTSBURGH,PA,15219,47,Pittsburgh,103,3rd Ward - PITTSBURGH,2024-10-01,2024-09-20,183500.0,19817,340.0,0,VALID SALE,DE,DEED,40.444999,-79.981962,Crawford-Roberts
3186408,0076K00142000000,"10261/2 GRAND AVE, PITTSBURGH, PA 15212",1026, 1/2,,GRAND,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-10-02,2024-10-01,31500.0,19819,581.0,14,TIME ON MARKET (INSUFF/EXCESS),GW,GENERAL WARRANTY,40.475168,-80.024886,Marshall-Shadeland
3186414,0055F00286000000,"356 BIGELOW ST, PITTSBURGH, PA 15207",356, ,,BIGELOW,ST,,,PITTSBURGH,PA,15207,47,Pittsburgh,115,15th Ward - PITTSBURGH,2024-10-10,2024-09-18,194000.0,19828,272.0,H,MULTI-PARCEL SALE,DE,DEED,40.41997,-79.94364,Hazelwood
3186422,0022S00148000000,"924 W NORTH AVE, PITTSBURGH, PA 15233",924, ,W,NORTH,AVE,,,PITTSBURGH,PA,15233,47,Pittsburgh,122,22nd Ward - PITTSBURGH,2024-07-31,2024-07-30,780000.0,19754,388.0,35,CORPORATION TRANSFER,DE,DEED,40.453361,-80.018071,Central Northside
3186425,0032N00266000000,"1327 TRIANA ST, PITTSBURGH, PA 15210",1327, ,,TRIANA,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-08-01,2024-07-18,140000.0,19756,241.0,0,VALID SALE,SW,SPECIAL WARRANTY,40.404604,-79.98034,Carrick
3186426,0040M00088000000,"1819 NOBLESTOWN RD, PITTSBURGH, PA 15205",1819, ,,NOBLESTOWN,RD,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2024-08-01,2024-07-31,310000.0,19756,273.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.437379,-80.053367,Westwood
3186429,0126E00211000000,"514 S LINDEN AVE, PITTSBURGH, PA 15208",514, ,S,LINDEN,AVE,,,PITTSBURGH,PA,15208,47,Pittsburgh,114,14th Ward - PITTSBURGH,2024-08-06,2024-08-05,1.0,19759,526.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.448297,-79.914676,Point Breeze
3186444,0138B00111000000,"725 MAYTIDE ST, PITTSBURGH, PA 15227",725, ,,MAYTIDE,ST,,,PITTSBURGH,PA,15227,47,Pittsburgh,132,32nd Ward - PITTSBURGH,2024-06-11,2024-06-07,95000.0,19698,346.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.3837,-79.99251,Overbrook
3186465,0082A00054000000,"1215 DUFFIELD ST, PITTSBURGH, PA 15206",1215, ,,DUFFIELD,ST,,,PITTSBURGH,PA,15206,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-06-28,2024-06-24,298000.0,19719,436.0,37,ESTATE SALE,DE,DEED,40.480287,-79.931742,Stanton Heights
3186469,0027H00117070700,"220 N DITHRIDGE ST, UNIT 707, PITTSBURGH, PA 15213",220, ,N,DITHRIDGE,ST,UNIT,707,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2024-06-19,2024-06-14,375000.0,19709,202.0,0,VALID SALE,DE,DEED,40.449811,-79.951822,North Oakland
3186477,0124S00329000000,"1006 LINCOLN AVE, PITTSBURGH, PA 15206",1006, ,,LINCOLN,AVE,,,PITTSBURGH,PA,15206,47,Pittsburgh,112,12th Ward - PITTSBURGH,2024-12-30,2024-12-26,30000.0,19909,553.0,H,MULTI-PARCEL SALE,QC,QUIT CLAIM,40.46386,-79.901551,Homewood West
3186482,0095L00297000000,"404 ARISTON AVE, PITTSBURGH, PA 15210",404, ,,ARISTON,AVE,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2025-01-07,2024-12-27,295000.0,19915,302.0,H,MULTI-PARCEL SALE,DE,DEED,40.3874,-79.98999,Carrick
3186483,0012L00225000000,"23041/2 E CARSON ST, PITTSBURGH, PA 15203",2304, 1/2,E,CARSON,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2025-01-03,2024-12-17,1.0,19914,228.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.411527,-79.955633,South Side Flats
3186486,0083M00044000000,"611 COLLINS AVE, PITTSBURGH, PA 15206",611, ,,COLLINS,AVE,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2025-01-07,2024-12-27,712500.0,19916,366.0,9,OTHER INVALID SALES INDICATED,DE,DEED,40.466648,-79.919265,East Liberty
3186488,0068N00098000000,"115 FOUNTAIN ST, PITTSBURGH, PA 15205",115, ,,FOUNTAIN,ST,,,PITTSBURGH,PA,15205,7,Carlynton,818,Crafton  ,2024-05-06,2024-04-30,80000.0,19660,238.0,35,CORPORATION TRANSFER,DE,DEED,40.459109,-80.001428,Fineview
3186487,0175L00001000000,"0 ROSEDALE ST, PITTSBURGH, PA 15221",0, ,,ROSEDALE,ST,,,PITTSBURGH,PA,15221,47,Pittsburgh,113,13th Ward - PITTSBURGH,2024-05-13,2024-03-06,100.0,19666,290.0,GV,GOVERNMENT SALE,QC,QUIT CLAIM,40.449763,-79.887,Homewood South
3186493,0095H00112000000,"2251 BROWNSVILLE RD, PITTSBURGH, PA 15210",2251, ,,BROWNSVILLE,RD,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2024-05-16,2024-05-02,520000.0,19670,240.0,14,TIME ON MARKET (INSUFF/EXCESS),DE,DEED,40.38979,-79.98539,Carrick
3186497,0083C00322000000,"819 N HIGHLAND AVE, PITTSBURGH, PA 15206",819, ,N,HIGHLAND,AVE,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2024-05-20,2024-05-20,420000.0,19675,262.0,9,OTHER INVALID SALES INDICATED,SW,SPECIAL WARRANTY,40.470425,-79.921039,Highland Park
3186504,0052A00183010500,"425 N NEVILLE ST, UNIT 105, PITTSBURGH, PA 15213",425, ,N,NEVILLE,ST,UNIT,105,PITTSBURGH,PA,15213,47,Pittsburgh,107,7th Ward - PITTSBURGH,2024-05-24,2024-05-16,365000.0,19679,243.0,0,VALID SALE,DE,DEED,40.450995,-79.9485,Shadyside
3186505,0023J00115000000,"1403 MONTEREY ST, PITTSBURGH, PA 15212",1403, ,,MONTEREY,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,125,25th Ward - PITTSBURGH,2024-05-22,2024-05-21,465000.0,19677,438.0,0,VALID SALE,DE,DEED,40.456673,-80.013576,Central Northside
3186507,0061J00028000000,"652 ELMBANK ST, PITTSBURGH, PA 15226",652, ,,ELMBANK,ST,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-05-22,2024-05-06,167413.0,19677,513.0,37,ESTATE SALE,DE,DEED,40.39816,-80.01537,Brookline
3186519,0115N00345000000,"1016 CORNELL ST, PITTSBURGH, PA 15212",1016, ,,CORNELL,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-03-26,2024-03-15,1.0,19615,230.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.48388,-80.02977,Brighton Heights
3186518,0174B00059000000,"7259 UPLAND ST, PITTSBURGH, PA 15208",7259, ,,UPLAND,ST,,,PITTSBURGH,PA,15208,47,Pittsburgh,113,13th Ward - PITTSBURGH,2024-03-20,2024-02-26,0.0,19610,217.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.461751,-79.892262,Homewood North
3186522,0231P00069000000,"8321 VIDETTE ST, PITTSBURGH, PA 15221",8321, ,,VIDETTE,ST,,,PITTSBURGH,PA,15221,47,Pittsburgh,113,13th Ward - PITTSBURGH,2024-03-28,2024-03-07,1.0,19618,89.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.454744,-79.878028,East Hills
3186520,0045A00210000000,"3006 SHADELAND AVE, PITTSBURGH, PA 15212",3006, ,,SHADELAND,AVE,,,PITTSBURGH,PA,15212,47,Pittsburgh,127,27th Ward - PITTSBURGH,2024-03-26,2024-03-15,105000.0,19616,508.0,H,MULTI-PARCEL SALE,DE,DEED,40.47185,-80.03076,Marshall-Shadeland
3186524,0022L00295000000,"1111 LIVERPOOL ST, PITTSBURGH, PA 15233",1111, ,,LIVERPOOL,ST,,,PITTSBURGH,PA,15233,47,Pittsburgh,121,21st Ward - PITTSBURGH,2024-03-28,2024-03-12,487900.0,19618,156.0,H,MULTI-PARCEL SALE,DE,DEED,40.455619,-80.022057,Manchester
3186527,0004F00203000000,"7-9 NATCHEZ ST, PITTSBURGH, PA 15211",7, -9,,NATCHEZ,ST,,,PITTSBURGH,PA,15211,47,Pittsburgh,119,19th Ward - PITTSBURGH,2024-03-29,2024-03-18,161250.0,19620,556.0,3,LOVE AND AFFECTION SALE,SW,SPECIAL WARRANTY,40.42878,-80.00889,Mount Washington
3186526,0012L00066000000,"2211 JANE ST, PITTSBURGH, PA 15203",2211, ,,JANE,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,116,16th Ward - PITTSBURGH,2024-03-28,2024-03-15,1.0,19619,160.0,3,LOVE AND AFFECTION SALE,DE,DEED,40.426756,-79.974208,South Side Flats
3186532,0081L00094000000,"935 MILLERDALE ST, PITTSBURGH, PA 15201",935, ,,MILLERDALE,ST,,,PITTSBURGH,PA,15201,47,Pittsburgh,110,10th Ward - PITTSBURGH,2024-04-05,2024-04-04,101634.0,19628,589.0,14,TIME ON MARKET (INSUFF/EXCESS),SW,SPECIAL WARRANTY,40.47645,-79.93833,Stanton Heights
